scenario_id,ae,profile,profile_ru,curvature_radius_m,curvature_class,lateral_length_m,tubing_shoe_from_heel_m,shoe_fraction,q_std_m3_day,q_std_th_m3_day,p_heel_mpa,p_avg_lateral_mpa,p_toe_mpa,delta_p_wellbore_kpa,a_coeff,b_coeff,iterations,q_vertical_ref_m3_day,gain_vs_vertical_pct
25,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,400.0,0.6666666666666666,66189.81434575084,66.18981434575085,7.5,7.502667719599484,7.5053354391989675,5.33543919896732,800953199933.6736,56809442649573.6,4,34749.58533414408,90.47655881152161
26,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,500.0,0.8333333333333334,66197.13069337342,66.19713069337341,7.5,7.502227489807081,7.504454979614161,4.454979614160703,800941694925.8591,56809610656941.875,4,34749.58533414408,90.49761330052407
27,0.1,flat,плоско-горизонтальный,8.0,малый,600.0,600.0,1.0,66204.44938847476,66.20444938847477,7.5,7.501787074354976,7.5035741487099505,3.5741487099505607,800930184364.1215,56809778753457.48,4,34749.58533414408,90.51867454494172
28,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,0.0,0.0,72887.22916091213,72.88722916091213,7.5,7.50621656344232,7.51243312688464,12.43312688464058,771361336839.4918,46711506845420.03,6,34749.58533414408,109.74992495606833
29,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,100.0,0.14285714285714285,72896.90809200227,72.89690809200226,7.5,7.505688244002094,7.51137648800419,11.37648800418989,771348064978.3723,46711672278011.43,5,34749.58533414408,109.77777832754619
30,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,200.0,0.2857142857142857,72906.60302641307,72.90660302641307,7.5,7.50515965783923,7.51031931567846,10.319315678460894,771334768591.5244,46711838025822.05,5,34749.58533414408,109.80567775229493
31,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,300.0,0.42857142857142855,72916.30206542995,72.91630206542995,7.5,7.504630802786838,7.509261605573674,9.26160557367471,771321463989.1835,46712003885570.16,5,34749.58533414408,109.83358898900066
32,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,400.0,0.5714285714285714,72926.00521176285,72.92600521176286,7.5,7.504101678623686,7.508203357247371,8.20335724737135,771308151163.7932,46712169857368.07,5,34749.58533414408,109.86151204546192
33,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,500.0,0.7142857142857143,72935.7124681239,72.9357124681239,7.5,7.50357228512831,7.50714457025662,7.144570256619396,771294830107.79,46712335941328.29,5,34749.58533414408,109.88944692948341
34,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,600.0,0.8571428571428571,72945.42383722744,72.94542383722744,7.5,7.503042622079008,7.506085244158015,6.085244158015403,771281500813.5997,46712502137563.414,5,34749.58533414408,109.91739364887636
35,0.1,flat,плоско-горизонтальный,8.0,малый,700.0,700.0,1.0,72955.13539108701,72.95513539108701,7.5,7.50251268899335,7.5050253779867,5.025377986700669,771268168670.2847,46712668378892.4,4,34749.58533414408,109.94534089994765
36,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,0.0,0.0,79212.60351150749,79.2126035115075,7.5,7.508334888506433,7.516669777012865,16.66977701286465,747239218983.4453,39465235286825.21,6,34749.58533414408,127.95265828301885
37,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,100.0,0.125,79224.96030784526,79.22496030784527,7.5,7.507715940643381,7.515431881286763,15.431881286762861,747224145403.5955,39465399131757.82,6,34749.58533414408,127.98821783349679
38,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,200.0,0.25,79237.32351566148,79.23732351566149,7.5,7.507096622722512,7.514193245445024,14.193245445024251,747209060568.2546,39465563110057.41,6,34749.58533414408,128.0237958344926
39,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,300.0,0.375,79249.6931408046,79.2496931408046,7.5,7.5064769343741,7.512953868748198,12.953868748198696,747193964464.0818,39465727221894.375,6,34749.58533414408,128.05939230283653
40,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,400.0,0.5,79262.06918913033,79.26206918913033,7.5,7.505856875227899,7.5117137504557965,11.713750455796298,747178857077.7128,39465891467439.36,6,34749.58533414408,128.09500725537976
41,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,500.0,0.625,79274.44241967826,79.27444241967827,7.5,7.505236443738157,7.510472887476314,10.472887476314051,747163749687.1809,39466055724092.13,5,34749.58533414408,128.13061409911316
42,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,600.0,0.75,79286.83338408521,79.28683338408521,7.5,7.504615642252419,7.509231284504836,9.231284504836804,747148617192.3813,39466220264784.39,5,34749.58533414408,128.16627197614338
43,0.1,flat,плоско-горизонтальный,8.0,малый,800.0,700.0,0.875,79299.23053445421,79.29923053445421,7.5,7.5039944687686635,7.507988937537327,7.98893753732767,747133473685.3447,39466384936329.14,5,34749.58533414408,128.2019476547156
