shoe_depth_m,distance_from_heel_m,pressure_mpa,q_std_th_m3_day
0.0,710.9243697478992,7.5504493494423235,142.15487379830373
0.0,718.4873949579832,7.550986044649156,142.15487379830373
0.0,726.0504201680671,7.55152273985599,142.15487379830373
0.0,733.6134453781513,7.552059435062823,142.15487379830373
0.0,741.1764705882352,7.552596130269656,142.15487379830373
0.0,748.7394957983194,7.553132825476489,142.15487379830373
0.0,756.3025210084033,7.553669520683323,142.15487379830373
0.0,763.8655462184873,7.554206215890156,142.15487379830373
0.0,771.4285714285714,7.554742911096989,142.15487379830373
0.0,778.9915966386554,7.555279606303822,142.15487379830373
0.0,786.5546218487394,7.555816301510656,142.15487379830373
0.0,794.1176470588235,7.5563529967174885,142.15487379830373
0.0,801.6806722689075,7.556889691924322,142.15487379830373
0.0,809.2436974789915,7.557426387131155,142.15487379830373
0.0,816.8067226890756,7.557963082337989,142.15487379830373
0.0,824.3697478991596,7.558499777544822,142.15487379830373
0.0,831.9327731092437,7.559036472751655,142.15487379830373
0.0,839.4957983193277,7.559573167958487,142.15487379830373
0.0,847.0588235294117,7.560109863165322,142.15487379830373
0.0,854.6218487394958,7.560646558372155,142.15487379830373
0.0,862.1848739495798,7.561183253578988,142.15487379830373
0.0,869.7478991596638,7.561719948785821,142.15487379830373
0.0,877.3109243697479,7.562256643992654,142.15487379830373
0.0,884.8739495798319,7.562793339199487,142.15487379830373
0.0,892.4369747899159,7.563330034406321,142.15487379830373
0.0,900.0,7.563866729613154,142.15487379830373
450.0,0.0,7.5,142.45033832524499
450.0,7.563025210084033,7.500218301082905,142.45033832524499
450.0,15.126050420168067,7.5004366021658075,142.45033832524499
450.0,22.6890756302521,7.500654903248712,142.45033832524499
450.0,30.252100840336134,7.500873204331617,142.45033832524499
450.0,37.81512605042017,7.5010915054145215,142.45033832524499
450.0,45.3781512605042,7.501309806497424,142.45033832524499
450.0,52.94117647058823,7.501528107580329,142.45033832524499
450.0,60.50420168067227,7.501746408663234,142.45033832524499
450.0,68.0672268907563,7.501964709746138,142.45033832524499
450.0,75.63025210084034,7.502183010829042,142.45033832524499
450.0,83.19327731092437,7.502401311911946,142.45033832524499
450.0,90.7563025210084,7.502619612994851,142.45033832524499
450.0,98.31932773109243,7.502837914077755,142.45033832524499
450.0,105.88235294117646,7.503056215160659,142.45033832524499
450.0,113.4453781512605,7.503274516243563,142.45033832524499
450.0,121.00840336134453,7.5034928173264674,142.45033832524499
450.0,128.57142857142856,7.503711118409372,142.45033832524499
450.0,136.1344537815126,7.503929419492276,142.45033832524499
450.0,143.69747899159663,7.50414772057518,142.45033832524499
450.0,151.26050420168067,7.504366021658084,142.45033832524499
450.0,158.8235294117647,7.504584322740988,142.45033832524499
450.0,166.38655462184875,7.504802623823893,142.45033832524499
450.0,173.94957983193277,7.5050209249067965,142.45033832524499
450.0,181.5126050420168,7.505239225989701,142.45033832524499
450.0,189.07563025210084,7.505457527072605,142.45033832524499
450.0,196.63865546218486,7.50567582815551,142.45033832524499
450.0,204.2016806722689,7.505894129238413,142.45033832524499
450.0,211.76470588235293,7.506112430321318,142.45033832524499
450.0,219.32773109243698,7.506330731404222,142.45033832524499
450.0,226.890756302521,7.5065490324871265,142.45033832524499
450.0,234.45378151260505,7.50676733357003,142.45033832524499
450.0,242.01680672268907,7.506985634652935,142.45033832524499
450.0,249.5798319327731,7.507203935735839,142.45033832524499
450.0,257.1428571428571,7.507422236818743,142.45033832524499
450.0,264.70588235294116,7.507640537901647,142.45033832524499
450.0,272.2689075630252,7.507858838984552,142.45033832524499
450.0,279.83193277310926,7.5080771400674555,142.45033832524499
450.0,287.39495798319325,7.50829544115036,142.45033832524499
450.0,294.9579831932773,7.508513742233264,142.45033832524499
450.0,302.52100840336135,7.508732043316169,142.45033832524499
450.0,310.08403361344534,7.508950344399072,142.45033832524499
450.0,317.6470588235294,7.509168645481977,142.45033832524499
450.0,325.21008403361344,7.509386946564881,142.45033832524499
450.0,332.7731092436975,7.509605247647785,142.45033832524499
450.0,340.3361344537815,7.509823548730689,142.45033832524499
450.0,347.89915966386553,7.510041849813594,142.45033832524499
450.0,355.4621848739496,7.510260150896498,142.45033832524499
450.0,363.0252100840336,7.5104784519794014,142.45033832524499
450.0,370.5882352941176,7.510696753062306,142.45033832524499
450.0,378.1512605042017,7.510915054145211,142.45033832524499
450.0,385.7142857142857,7.5111333552281145,142.45033832524499
450.0,393.2773109243697,7.511351656311018,142.45033832524499
